,movie_id,actor,design,happy,music,plot,thrill,touched,vision
0,tt0091064,0.71,2.18,0.85,0.0,0.56,2.77,-2.14,1.95
1,tt0113627,0.6,0.0,0.78,-2.03,1.46,0.0,1.09,1.48
2,tt0217505,-1.46,-1.06,-0.95,-0.03,-2.04,-0.57,0.0,-0.87
3,tt0268380,0.0,0.0,7.46,1.23,-1.36,0.0,0.27,0.99
4,tt0369339,2.53,0.49,0.44,1.84,-1.23,4.87,0.0,1.27
5,tt0021814,3.63,0.0,-0.58,0.36,0.0,-6.49,0.75,0.0
6,tt0029583,0.75,0.0,0.58,3.37,0.0,0.16,0.36,0.87
7,tt0038109,0.84,0.0,0.6,3.85,4.58,0.07,0.91,1.73
8,tt0049223,2.45,0.55,0.82,1.7,2.59,0.27,0.0,2.92
9,tt0054387,1.68,0.31,0.0,0.0,0.53,0.0,0.0,3.69
10,tt0054953,1.92,0.0,-0.49,1.91,0.76,1.64,0.0,0.94
11,tt0055614,2.2,0.0,0.0,32.52,-0.27,0.68,0.0,4.05
12,tt0056193,1.98,0.0,1.5,0.46,0.58,-0.57,0.68,0.98
13,tt0060176,1.69,0.0,0.8,1.04,1.81,-0.11,0.05,0.5
14,tt0061852,1.79,0.0,6.17,18.29,0.8,0.0,1.78,-0.42
15,tt0063518,4.14,3.22,0.9,1.52,1.62,-0.54,0.5,0.24
16,tt0065988,0.0,0.0,2.89,0.0,1.63,-0.85,0.46,1.23
17,tt0066026,0.0,0.0,1.15,0.71,-2.52,-0.46,0.0,1.49
18,tt0066765,1.26,0.0,11.63,0.91,1.06,0.0,0.0,1.6
19,tt0068699,0.79,-0.81,-0.0,0.3,0.4,-0.09,-0.9,1.43
20,tt0070608,0.0,0.0,5.53,4.35,0.0,0.96,0.9,2.41
21,tt0070917,0.62,0.0,0.0,0.21,0.65,0.92,0.0,0.0
22,tt0075005,0.34,0.0,-0.69,1.79,-2.0,-4.52,0.48,2.5
23,tt0076363,0.0,0.6,7.31,4.18,0.0,1.39,3.13,0.0
24,tt0077928,-0.04,0.0,0.77,0.57,-0.95,-2.0,0.0,-0.27
25,tt0077975,2.49,0.0,13.49,2.43,4.48,1.22,0.0,2.51
26,tt0079116,1.99,0.0,0.86,0.0,0.0,0.41,0.0,-0.28
27,tt0079588,0.0,0.0,4.15,8.21,0.9,0.0,0.27,0.0
28,tt0080179,0.0,0.0,3.87,0.0,1.87,-1.47,0.0,0.0
29,tt0082010,0.0,0.0,1.37,1.27,0.61,-3.31,0.0,0.92
30,tt0082694,1.33,0.73,0.75,2.09,1.45,1.23,-0.66,0.88
31,tt0084649,0.13,0.0,0.85,8.38,0.0,-0.27,0.0,0.61
32,tt0084707,9.73,0.0,1.63,2.79,0.0,-2.83,-0.1,1.41
33,tt0085959,0.0,0.0,6.95,1.32,1.05,0.39,0.0,1.89
34,tt0086979,0.05,0.0,1.6,-1.9,-1.83,2.17,0.0,1.11
35,tt0087469,-0.52,0.0,0.28,-1.36,1.16,-0.89,-1.05,0.0
36,tt0088184,2.04,0.0,1.9,1.46,-0.53,0.0,0.0,4.22
37,tt0093409,0.42,0.54,3.39,0.0,3.01,2.1,0.0,1.7
38,tt0093748,1.83,0.0,5.78,0.0,0.0,0.0,0.14,0.94
39,tt0093870,1.67,0.0,1.39,1.77,1.88,0.86,0.0,2.78
40,tt0094947,1.36,2.67,0.44,0.85,2.08,0.0,0.0,2.29
41,tt0095159,0.79,0.0,9.98,1.61,6.9,0.51,2.45,0.0
42,tt0095497,-1.83,0.96,1.54,1.07,1.52,-1.43,0.0,0.59
43,tt0095631,1.68,0.0,3.19,0.0,3.78,1.09,1.56,2.47
44,tt0095705,1.81,0.0,11.18,0.27,0.57,-1.38,0.14,0.27
45,tt0096754,2.62,0.0,0.51,0.0,0.37,0.94,0.0,5.08
46,tt0096895,2.68,1.84,1.59,1.39,0.28,-0.61,-0.48,3.31
47,tt0097499,4.62,0.53,0.78,0.0,0.0,0.0,-0.38,1.88
48,tt0097757,-0.26,0.0,4.87,16.33,0.0,0.0,0.87,1.3
49,tt0097958,0.51,0.0,16.77,-0.13,1.25,0.0,0.0,0.0
50,tt0098635,2.31,0.0,9.5,6.98,5.69,0.0,9.18,0.0
51,tt0099674,0.72,0.0,-0.07,0.11,-1.18,-0.58,0.25,0.57
52,tt0099810,3.22,0.0,0.88,1.16,0.78,2.45,0.0,0.59
53,tt0103939,3.85,0.89,0.86,2.49,0.69,0.0,0.0,0.75
54,tt0105151,2.07,0.01,3.01,0.67,2.87,-1.74,0.0,3.67
55,tt0106308,0.0,0.0,6.44,-0.81,0.0,-5.64,0.0,-1.3
56,tt0106856,0.62,0.0,1.29,1.24,-0.9,-0.79,0.0,2.18
57,tt0107822,0.7,0.0,0.0,2.36,2.47,0.0,0.69,4.49
58,tt0109506,2.33,0.0,0.0,9.99,1.33,1.09,-0.27,4.14
59,tt0110148,-0.73,1.08,1.04,1.05,1.32,-1.31,0.0,1.43
60,tt0111512,2.08,0.58,5.22,0.51,-0.08,0.0,0.0,2.01
61,tt0112384,6.42,0.0,-0.64,-0.64,0.01,1.72,0.0,1.56
62,tt0112682,1.66,1.64,1.55,2.65,0.59,-0.49,0.0,6.1
63,tt0112864,0.0,0.0,2.43,-0.48,0.37,0.26,0.0,0.86
64,tt0116922,0.0,0.0,0.25,1.91,2.22,-0.05,0.0,0.21
65,tt0117665,1.95,0.0,0.95,0.0,1.91,0.0,0.0,0.54
66,tt0119167,0.62,-0.59,1.85,2.78,-0.34,-3.42,0.0,0.07
67,tt0120255,0.16,0.0,0.0,1.63,-0.97,-1.17,-0.48,2.17
68,tt0120762,0.46,0.93,6.71,9.54,0.97,0.96,0.0,0.6
69,tt0120863,-0.91,0.0,-0.79,1.81,0.51,-1.43,0.0,3.96
70,tt0121766,1.58,0.0,-0.23,-0.56,0.32,0.39,0.25,-0.1
71,tt0144084,0.51,0.0,-2.17,1.8,-0.33,-1.56,-0.3,1.35
72,tt0154506,0.6,0.0,0.23,-0.7,0.85,0.43,0.0,0.11
73,tt0171804,0.49,0.0,0.0,-0.22,0.43,-0.55,-0.15,0.92
74,tt0174856,2.58,0.0,0.0,0.64,1.94,-1.35,0.75,0.96
75,tt0181865,1.1,0.0,0.0,0.8,3.14,-0.26,0.62,4.22
76,tt0203009,2.22,-1.87,-0.25,8.29,0.51,-0.29,2.05,4.35
77,tt0203230,-0.43,0.0,0.0,-1.42,0.32,-0.32,0.36,1.45
78,tt0215750,0.69,-0.86,0.0,-0.16,-0.72,-0.48,0.73,1.48
79,tt0221027,-1.23,0.0,0.48,3.91,0.46,-0.73,0.68,-0.57
80,tt0230600,1.48,0.0,1.36,2.35,2.68,-2.67,-0.89,-0.89
81,tt0241527,2.23,0.0,0.03,0.0,-0.95,-0.43,0.0,1.27
82,tt0243133,2.87,0.0,1.6,1.46,0.37,0.86,0.0,7.2
83,tt0265666,-0.12,1.4,-1.3,0.0,-0.28,-0.6,0.0,1.4
84,tt0277027,-0.13,0.0,3.5,0.62,0.6,-0.39,1.3,0.7
85,tt0289043,0.0,0.0,0.0,1.32,0.04,-3.64,0.0,-0.37
86,tt0289992,-1.18,0.0,0.99,0.0,2.7,-2.47,-0.67,0.76
87,tt0314331,-0.13,0.65,-0.16,0.88,0.5,0.0,3.63,1.05
88,tt0315983,3.95,0.0,0.0,0.24,2.28,-0.32,1.94,0.88
89,tt0373469,1.68,0.0,1.11,-0.9,0.51,0.5,0.38,0.52
90,tt0385004,1.19,3.86,-0.65,-0.46,2.34,0.0,0.36,5.09
91,tt0387564,-0.12,-0.32,0.61,-2.76,-5.45,-7.93,0.0,-1.24
92,tt0399295,-1.04,0.1,1.71,0.23,1.85,0.8,0.0,4.47
93,tt0408306,0.0,0.0,0.0,1.35,0.02,2.5,-0.48,-0.83
94,tt0409459,0.22,1.28,0.29,0.88,0.41,-0.07,-0.64,2.82
95,tt0416320,2.31,0.67,1.64,1.42,1.32,1.85,0.71,-0.59
96,tt0417741,0.15,0.0,-0.19,0.73,-0.63,-0.9,0.91,2.19
97,tt0419887,3.13,0.0,0.0,0.0,1.66,-1.54,1.0,1.38
98,tt0420223,0.5,0.0,1.87,0.64,3.06,-0.44,0.67,0.53
99,tt0427309,4.65,0.78,0.0,1.61,-1.12,-0.22,0.03,0.46
100,tt0427944,1.79,0.0,4.04,0.77,1.71,0.0,0.0,1.54
101,tt0441773,0.52,0.0,2.87,1.12,0.62,0.0,0.0,2.08
102,tt0441909,1.03,0.0,0.86,1.84,2.27,0.31,0.53,1.86
103,tt0443543,0.59,0.0,0.73,4.06,2.5,0.1,1.97,7.11
104,tt0450188,3.31,0.38,0.0,5.36,0.0,0.03,0.79,1.05
105,tt0451094,1.68,0.0,1.3,1.51,-3.28,-0.56,-0.03,4.59
106,tt0454848,1.68,0.25,0.8,1.35,3.53,0.16,-0.34,1.59
107,tt0456912,0.1,0.0,0.47,0.27,0.13,-0.73,0.0,3.18
108,tt0462322,1.22,-0.56,4.76,0.27,0.87,1.61,0.9,0.95
109,tt0475276,0.56,0.0,0.0,0.0,-0.25,-3.83,0.0,-0.04
110,tt0813547,0.04,0.0,-0.17,1.71,-0.78,-0.96,0.0,1.6
111,tt0814314,0.43,0.3,0.93,0.9,1.21,0.0,-0.93,0.0
112,tt0829482,-0.18,0.0,14.57,0.0,0.3,0.87,1.66,0.4
113,tt0840361,0.63,0.0,0.84,-0.74,1.8,0.3,0.37,-0.74
114,tt0887912,0.07,0.0,0.0,0.0,-0.6,-0.42,-0.55,-0.07
115,tt0976051,1.09,0.62,0.0,0.0,0.53,-0.4,0.0,0.27
116,tt0986233,-0.37,-0.85,-1.25,-1.68,0.0,-3.42,-0.89,-0.22
117,tt0988045,1.26,0.0,3.68,0.69,-1.5,1.75,0.0,0.19
118,tt1013753,1.94,0.95,1.58,-0.49,0.84,-0.38,-0.24,1.94
119,tt1063669,0.0,0.0,0.0,-0.23,2.62,-1.98,-0.4,0.0
120,tt1078188,3.04,0.0,0.0,-0.19,0.84,-0.06,0.0,0.64
121,tt1127715,1.18,-0.76,0.0,0.59,1.28,-0.62,0.59,4.04
122,tt1189073,-0.13,0.38,-0.65,1.63,1.53,3.19,-0.1,2.5
123,tt1210166,2.83,0.0,1.41,0.0,1.27,-0.02,0.66,-0.33
124,tt1250777,0.0,0.0,0.83,0.06,-0.96,0.0,0.0,0.0
125,tt1315981,1.74,0.0,-1.23,1.32,0.64,0.0,1.29,-0.72
126,tt1318514,2.34,0.72,0.96,1.99,4.36,-0.54,0.0,3.48
127,tt1340107,2.43,0.0,0.38,0.73,-1.31,-0.62,-0.23,0.92
128,tt1386932,0.46,-0.1,-0.51,0.0,0.87,0.36,-0.84,0.0
129,tt1403865,1.61,0.34,2.35,0.85,1.96,0.27,0.0,1.76
130,tt1410063,0.57,0.56,1.36,-1.16,0.37,-2.08,-2.27,-0.35
131,tt1436045,0.5,0.0,1.06,0.93,-1.44,0.86,0.0,1.91
132,tt1465522,1.2,0.0,7.13,0.0,1.39,2.09,0.32,0.0
133,tt1542344,0.0,0.0,0.93,2.29,1.67,1.74,0.29,5.46
134,tt1568921,0.91,0.0,0.0,9.35,-0.04,0.0,1.77,1.74
135,tt1614989,0.6,0.0,0.25,0.0,0.7,4.07,0.0,2.05
136,tt1649419,0.56,0.0,0.0,0.0,0.99,-3.0,-0.36,0.76
137,tt1707386,2.34,0.59,0.46,15.0,0.97,-0.89,0.97,1.56
138,tt1855199,1.14,0.0,1.99,0.28,2.86,-0.11,2.2,1.76
139,tt1899353,0.03,0.0,0.0,0.7,0.63,0.86,0.22,2.2
140,tt1937149,3.09,0.0,0.0,2.53,3.18,8.96,0.0,1.77
141,tt2103281,0.0,0.0,0.51,0.49,1.0,0.8,-0.54,1.73
142,tt2431286,1.02,0.0,2.54,1.4,2.96,0.1,2.18,-0.27
143,tt2582782,0.78,0.0,-0.76,1.42,-0.89,0.23,0.33,4.24
144,tt2713180,0.15,0.0,-0.38,0.0,-0.03,-1.04,0.0,-0.14
145,tt2802154,2.2,0.0,0.0,0.89,2.33,0.46,0.68,4.13
146,tt3076658,1.43,0.64,0.0,0.8,1.37,-0.56,0.2,0.0
147,tt3397884,0.42,0.0,0.0,0.89,1.62,0.43,0.15,4.14
148,tt3416742,2.38,0.0,14.05,0.0,2.58,1.85,0.15,-0.74
149,tt3521164,0.0,0.0,2.97,6.74,-0.8,-0.69,0.67,3.73
150,tt3682448,1.02,0.0,0.86,0.51,-0.66,0.51,0.0,-0.03
151,tt3890160,0.12,0.0,0.21,5.04,-0.63,0.04,0.0,-0.99
152,tt3966404,2.34,0.0,0.51,2.13,0.0,-0.71,0.4,3.6
153,tt4481414,4.17,0.0,1.29,0.0,2.93,0.0,-0.15,0.4
154,tt5462602,4.43,0.0,7.79,0.78,2.31,0.76,7.02,0.95
155,tt5649144,0.4,0.0,1.03,-0.01,1.53,-0.11,0.0,1.13
156,tt6499752,1.87,0.0,4.25,0.0,2.77,0.26,0.0,0.47
157,tt6644200,0.62,0.0,0.0,1.66,-0.47,-0.77,0.0,-2.19
158,tt7349662,-0.21,0.0,3.77,0.0,0.17,-0.02,0.22,0.86
159,tt0024184,0.92,0.0,2.37,0.72,1.79,-1.06,0.57,-0.65
160,tt0045793,2.3,0.0,-0.27,0.0,3.04,0.0,0.0,1.78
161,tt0046303,0.72,0.0,0.0,0.6,0.13,0.0,0.0,6.52
162,tt0047437,2.0,0.0,2.67,0.11,0.65,-0.86,6.99,2.27
163,tt0049261,2.8,1.85,0.55,1.32,1.7,-0.57,0.0,5.54
164,tt0054167,1.92,0.0,-0.88,0.23,0.83,-0.48,0.48,0.48
165,tt0054698,2.96,1.99,5.65,5.56,2.56,0.44,5.67,4.14
166,tt0056869,0.0,0.0,1.49,0.15,-0.14,-3.14,0.46,-1.32
167,tt0058150,0.0,0.0,1.74,2.9,1.36,1.77,0.0,-1.59
168,tt0058182,1.46,0.79,4.99,15.33,0.21,0.0,0.0,3.79
169,tt0063374,2.99,0.0,8.68,-0.36,3.88,0.0,0.0,1.59
170,tt0063462,-0.12,0.0,8.56,0.78,2.14,-0.53,-0.64,0.0
171,tt0065207,1.92,0.0,0.0,-1.42,3.81,1.37,0.0,0.84
172,tt0065938,2.66,0.0,5.93,2.71,1.35,0.74,-0.08,1.75
173,tt0067140,0.49,0.0,2.13,0.37,0.34,0.0,0.0,-0.93
174,tt0068473,1.27,0.0,-0.67,0.89,-0.57,-3.61,0.0,1.11
175,tt0070034,1.68,0.0,1.21,2.18,1.0,0.81,-0.2,1.65
176,tt0073582,0.0,0.0,0.0,0.89,2.8,-0.55,0.92,2.41
177,tt0074811,0.49,0.0,0.39,0.0,-1.02,-3.5,0.49,0.0
178,tt0075860,0.04,0.0,0.81,0.0,0.15,0.87,0.15,0.17
179,tt0078480,-0.57,0.0,1.34,6.01,0.22,-0.76,0.06,0.86
180,tt0080120,0.35,0.16,0.94,3.48,1.46,-0.46,0.0,1.53
181,tt0083944,2.02,0.0,0.78,0.89,-0.53,0.26,0.21,-0.17
182,tt0084726,0.78,0.65,0.0,1.27,1.34,-0.19,1.09,0.32
183,tt0088680,0.0,0.0,-1.25,0.89,1.07,-0.69,-0.77,0.05
184,tt0089853,0.8,0.0,3.09,1.24,1.43,0.0,1.67,2.04
185,tt0096438,-0.59,0.0,5.5,0.55,0.0,-1.48,0.0,0.64
186,tt0101410,2.3,0.0,0.92,2.31,2.06,1.0,0.0,1.53
187,tt0101700,1.79,0.0,2.45,3.55,1.03,1.14,-0.13,6.58
188,tt0101921,0.99,0.0,3.23,0.61,0.32,0.96,2.19,4.77
189,tt0104257,2.3,0.0,1.21,0.34,2.02,-0.88,0.44,-0.13
190,tt0104797,0.09,0.0,0.0,0.71,-0.78,0.0,0.0,0.0
191,tt0104940,0.0,0.0,5.13,11.53,0.0,0.0,0.19,0.9
192,tt0106677,0.61,0.0,3.77,7.12,0.79,-0.93,0.0,1.05
193,tt0107818,1.95,0.0,1.72,0.91,0.84,-0.7,2.03,0.0
194,tt0108122,2.89,0.0,0.2,-0.92,3.2,-0.05,-0.3,-0.27
195,tt0110877,1.89,0.74,0.0,1.4,0.96,-0.6,1.7,2.95
196,tt0111507,0.27,0.0,1.86,2.23,2.41,0.0,0.0,4.97
197,tt0112817,-0.82,0.0,1.92,0.69,0.5,-0.73,-0.45,1.75
198,tt0113670,0.0,1.33,0.0,0.0,-0.77,0.0,1.27,0.93
199,tt0114388,1.8,3.19,0.0,1.96,5.75,0.18,4.87,1.72
200,tt0117381,5.38,0.0,0.38,0.0,2.11,5.13,0.78,2.71
201,tt0117631,1.02,0.0,-0.32,-0.2,1.68,0.85,0.27,1.68
202,tt0118929,0.61,0.0,1.6,0.0,2.37,0.0,0.0,3.82
203,tt0119038,3.16,0.0,9.42,0.0,2.01,0.0,0.98,0.36
204,tt0119116,0.93,0.07,6.49,1.75,-0.07,-0.1,0.92,2.68
205,tt0119822,2.13,0.0,2.62,0.62,4.98,0.0,6.12,0.98
206,tt0120669,-0.39,0.0,1.99,0.34,-0.36,-1.29,0.0,1.64
207,tt0120802,0.04,0.83,0.0,7.07,0.03,0.29,0.67,2.47
208,tt0128445,0.74,0.0,2.96,0.71,3.24,0.0,1.27,1.21
209,tt0130827,1.03,0.0,1.49,4.08,0.58,0.65,0.49,0.22
210,tt0139654,2.3,0.93,0.0,1.33,0.83,1.73,0.0,0.48
211,tt0165832,0.93,0.0,1.83,0.0,1.33,-0.1,0.0,0.0
212,tt0181689,0.95,0.0,0.0,0.64,0.51,-0.36,0.0,4.34
213,tt0216651,0.0,0.0,0.97,1.56,3.75,-1.67,1.52,1.48
214,tt0245574,0.28,0.0,2.43,-0.33,0.6,1.04,0.91,1.63
215,tt0249462,1.32,0.0,2.21,5.59,3.43,0.0,2.7,1.7
216,tt0250258,0.74,0.0,0.0,0.32,0.65,-1.82,0.0,-0.21
217,tt0257044,3.65,0.0,0.0,5.74,0.77,0.0,0.25,9.32
218,tt0265086,-0.37,0.0,0.0,0.0,0.35,-2.16,-1.23,-1.67
219,tt0266308,0.9,0.0,-0.56,0.48,-0.16,-3.94,-1.5,0.74
220,tt0268126,0.42,0.0,1.23,0.0,3.74,0.24,-0.54,0.96
221,tt0289879,-0.46,0.0,0.0,0.19,4.18,-0.31,0.45,0.32
222,tt0301357,0.0,0.0,3.24,0.0,3.5,0.0,0.0,2.26
223,tt0307901,1.55,0.0,0.0,1.08,2.81,0.0,0.0,3.47
224,tt0308644,6.27,0.0,0.78,0.95,0.0,0.0,3.01,1.82
225,tt0310775,-0.13,0.0,0.25,-0.82,0.6,-1.47,0.0,1.28
226,tt0315733,3.26,0.0,0.74,0.0,1.78,-1.21,1.26,0.42
227,tt0325710,1.88,1.72,0.0,1.84,0.87,0.54,1.76,4.65
228,tt0327597,0.45,0.0,1.58,0.88,2.68,-0.69,0.0,9.72
229,tt0328107,2.16,0.81,0.0,0.21,3.25,-0.38,0.14,1.13
230,tt0330373,0.93,0.12,1.09,0.88,-0.77,-2.13,0.79,0.06
231,tt0338135,0.77,0.0,0.33,0.39,0.88,-0.54,0.76,1.31
232,tt0340377,1.56,0.0,1.58,2.45,1.78,0.0,2.37,1.33
233,tt0344510,0.85,-0.48,1.05,0.68,0.27,1.83,0.07,3.95
234,tt0350258,0.17,0.0,0.0,13.42,0.0,-0.47,0.2,3.68
235,tt0361862,-0.49,0.0,0.0,0.0,-0.31,-0.88,0.0,0.38
236,tt0364517,0.76,0.0,2.62,-0.08,2.7,-0.31,1.86,0.82
237,tt0370986,3.18,0.0,0.58,1.36,2.47,-1.51,4.53,0.09
238,tt0381849,2.38,0.0,0.81,0.81,1.89,0.0,-1.0,0.04
239,tt0388795,1.69,0.0,0.36,0.82,0.0,-0.95,1.51,2.46
240,tt0416449,1.14,0.0,0.0,0.61,0.91,0.0,-0.2,2.34
241,tt0419677,0.16,0.0,0.6,0.42,0.85,0.52,-0.76,-2.2
242,tt0421082,0.0,0.0,0.0,5.01,0.0,-0.18,0.0,15.51
243,tt0443706,0.8,0.0,0.12,-0.81,-0.14,-0.93,-0.87,5.03
244,tt0446059,2.15,-0.51,0.0,4.21,3.94,-0.36,1.29,4.23
245,tt0452623,2.25,0.0,0.74,0.74,1.49,0.62,0.0,0.54
246,tt0455590,-1.17,0.0,0.0,0.67,0.0,0.95,0.0,1.07
247,tt0470752,1.48,0.0,0.0,1.34,0.68,1.45,0.0,1.53
248,tt0480025,0.49,0.26,1.69,2.18,-0.29,0.0,-0.9,1.3
